pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
55.125941,-61.84728,-23.0,top,D1,,,diode,,tht
109.218569,-84.873301,-35.0,top,D10,,,diode,,tht
120.116523,-69.309415,-35.0,top,D11,,,diode,,tht
118.461642,-104.798314,-35.0,top,D12,,,diode,,tht
129.3596,-89.234424,-35.0,top,D13,,,diode,,tht
244.612676,-61.847276,23.0,top,D14,,,diode,,tht
237.188787,-44.357685,23.0,top,D15,,,diode,,tht
229.508694,-74.439053,30.0,top,D16,,,diode,,tht
220.008693,-57.984574,30.0,top,D17,,,diode,,tht
210.508692,-41.530094,30.0,top,D18,,,diode,,tht
210.988018,-80.979103,35.0,top,D19,,,diode,,tht
62.549828,-44.357688,-23.0,top,D2,,,diode,,tht
200.090065,-65.41521,35.0,top,D20,,,diode,,tht
189.192114,-49.851326,35.0,top,D21,,,diode,,tht
201.417997,-100.437189,35.0,top,D22,,,diode,,tht
190.520046,-84.873302,35.0,top,D23,,,diode,,tht
179.622097,-69.309413,35.0,top,D24,,,diode,,tht
181.27697,-104.798309,35.0,top,D25,,,diode,,tht
170.379022,-89.234427,35.0,top,D26,,,diode,,tht
105.041779,-134.044064,-45.0,top,D27,,,diode,,tht
116.036124,-150.487114,-60.0,top,D28,,,diode,,tht
194.696838,-134.044068,45.0,top,D29,,,diode,,tht
70.229926,-74.439051,-30.0,top,D3,,,diode,,tht
183.702491,-150.487117,60.0,top,D30,,,diode,,tht
79.729921,-57.984569,-30.0,top,D4,,,diode,,tht
89.229924,-41.530084,-30.0,top,D5,,,diode,,tht
88.750603,-80.979103,-35.0,top,D6,,,diode,,tht
99.648555,-65.415218,-35.0,top,D7,,,diode,,tht
110.546504,-49.85133,-35.0,top,D8,,,diode,,tht
98.320617,-100.437193,-35.0,top,D9,,,diode,,tht
57.079592,-57.244755,-23.0,top,S1,,,hsmx,,smt
112.086455,-80.777539,-35.0,top,S10,,,hsmx,,smt
122.984404,-65.213653,-35.0,top,S11,,,hsmx,,smt
121.329533,-100.702553,-35.0,top,S12,,,hsmx,,smt
132.227478,-85.138662,-35.0,top,S13,,,hsmx,,smt
242.659026,-57.24476,23.0,top,S14,,,hsmx,,smt
235.235133,-39.755171,23.0,top,S15,,,hsmx,,smt
227.008698,-70.108923,30.0,top,S16,,,hsmx,,smt
217.508696,-53.654444,30.0,top,S17,,,hsmx,,smt
208.008693,-37.199961,30.0,top,S18,,,hsmx,,smt
208.120128,-76.883342,35.0,top,S19,,,hsmx,,smt
64.503484,-39.755159,-23.0,top,S2,,,hsmx,,smt
197.222182,-61.319449,35.0,top,S20,,,hsmx,,smt
186.32423,-45.755565,35.0,top,S21,,,hsmx,,smt
198.550118,-96.34143,35.0,top,S22,,,hsmx,,smt
187.652163,-80.777537,35.0,top,S23,,,hsmx,,smt
176.754213,-65.21365,35.0,top,S24,,,hsmx,,smt
178.409089,-100.702553,35.0,top,S25,,,hsmx,,smt
167.511138,-85.138663,35.0,top,S26,,,hsmx,,smt
108.577313,-130.508529,-45.0,top,S27,,,hsmx,,smt
120.366251,-147.987112,-60.0,top,S28,,,hsmx,,smt
191.161309,-130.508528,45.0,top,S29,,,hsmx,,smt
72.729923,-70.108926,-30.0,top,S3,,,hsmx,,smt
179.372363,-147.987111,60.0,top,S30,,,hsmx,,smt
82.229926,-53.654447,-30.0,top,S4,,,hsmx,,smt
91.729928,-37.19996,-30.0,top,S5,,,hsmx,,smt
91.618482,-76.88334,-35.0,top,S6,,,hsmx,,smt
102.516444,-61.319455,-35.0,top,S7,,,hsmx,,smt
113.414387,-45.755559,-35.0,top,S8,,,hsmx,,smt
101.1885,-96.341435,-35.0,top,S9,,,hsmx,,smt
114.953423,-115.605538,0.0,top,_1,,,m2hole,,tht
184.785202,-115.605536,0.0,top,_2,,,m2hole,,tht
75.486145,-42.453866,-26.5,top,_3,,,m2hole,,tht
224.252477,-42.453866,26.5,top,_4,,,m2hole,,tht
