Designator,Mid X,Mid Y,Rotation,Layer
B1,220.553818,-125.190593,90.0,top
BT1,225.6,-138.5,0.0,top
D1,109.676772,-135.70427,201.0,bottom
D10,162.697096,-154.787598,210.0,bottom
D11,172.197092,-138.333119,210.0,bottom
D12,181.697093,-121.87864,210.0,bottom
D13,185.326578,-153.592188,210.0,bottom
D14,194.826577,-137.137705,210.0,bottom
D15,329.430865,-135.704269,159.0,bottom
D16,322.621871,-117.966244,159.0,bottom
D17,315.812884,-100.228213,159.0,bottom
D18,307.19333,-132.104828,153.0,bottom
D19,298.567512,-115.175701,153.0,bottom
D2,116.485763,-117.966244,201.0,bottom
D20,289.941693,-98.246577,153.0,bottom
D21,288.115026,-137.060356,150.0,bottom
D22,278.615025,-120.605878,150.0,bottom
D23,269.115025,-104.151399,150.0,bottom
D24,276.41054,-154.787601,150.0,bottom
D25,266.910543,-138.333122,150.0,bottom
D26,257.410541,-121.878637,150.0,bottom
D27,253.781061,-153.59219,150.0,bottom
D28,244.281062,-137.137707,150.0,bottom
D29,151.097322,-180.533836,224.0,bottom
D3,123.294754,-100.228216,201.0,bottom
D30,162.316449,-196.67838,232.0,bottom
D31,288.010316,-180.533837,136.0,bottom
D32,276.79119,-196.678378,128.0,bottom
D4,131.914304,-132.104825,207.0,bottom
D5,140.540126,-115.175703,207.0,bottom
D6,149.165945,-98.246581,207.0,bottom
D7,150.992612,-137.060361,210.0,bottom
D8,160.492616,-120.605877,210.0,bottom
D9,169.992611,-104.151395,210.0,bottom
S1,112.074591,-129.621301,201.0,bottom
S10,166.31386,-148.90437,210.0,bottom
S11,175.813862,-132.449883,210.0,bottom
S12,185.313861,-115.995402,210.0,bottom
S13,188.943341,-147.708955,210.0,bottom
S14,198.443344,-131.254472,210.0,bottom
S15,326.083027,-128.658378,159.0,bottom
S16,319.274036,-110.92035,159.0,bottom
S17,312.465044,-93.182322,159.0,bottom
S18,303.30381,-125.287874,153.0,bottom
S19,294.677991,-108.358747,153.0,bottom
S2,118.883583,-111.883272,201.0,bottom
S20,286.052171,-91.429622,153.0,bottom
S21,283.972243,-130.388027,150.0,bottom
S22,274.472247,-113.933544,150.0,bottom
S23,264.972239,-97.47906,150.0,bottom
S24,272.267763,-148.115265,150.0,bottom
S25,262.76776,-131.660785,150.0,bottom
S26,253.267758,-115.206301,150.0,bottom
S27,249.638278,-146.919854,150.0,bottom
S28,240.138278,-130.46537,150.0,bottom
S29,156.422862,-175.269418,224.0,bottom
S3,125.692573,-94.145246,201.0,bottom
S30,168.482184,-191.923884,232.0,bottom
S31,282.863257,-174.987849,136.0,bottom
S32,271.217172,-192.051976,128.0,bottom
S4,135.133207,-126.137297,207.0,bottom
S5,143.759026,-109.208169,207.0,bottom
S6,152.384843,-92.27905,207.0,bottom
S7,154.609376,-131.177126,210.0,bottom
S8,164.109376,-114.722646,210.0,bottom
S9,173.609377,-98.268166,210.0,bottom
